"","x"
"243",2.3138982770679e-05
"244",6.9726221032443e-05
"245",5.7575418721152e-05
"246",8.8891999927114e-05
"247",8.7989495631886e-05
"248",3.4194298088096e-05
"249",4.16191990925e-05
"250",1.7991500975927e-05
"251",3.0121928576935e-05
"252",4.8871841948178e-05
"253",4.5551053032348e-05
"254",2.5753559382654e-05
"255",4.8227677110394e-05
"256",3.706204015886e-06
"257",3.5656507239058e-05
"258",3.451660732138e-05
"259",2.8992590794722e-05
"260",0.000206754297205585
"261",6.3523412826126e-05
"262",3.2854214127697e-05
"263",3.3139241274609e-05
"264",3.6168397242305e-05
"265",2.1482381309509e-05
"266",3.4189461139267e-05
"267",5.2950711637031e-05
"268",4.0600672871067e-05
"269",2.959730020279e-05
"270",3.3239585370818e-05
"271",1.9352018339967e-05
"272",2.3516465360244e-05
"273",1.8477288752791e-05
"274",3.082397216803e-05
"275",2.7474852860423e-05
"276",5.182151327877e-05
"277",5.1389172436716e-05
"278",5.1206000156457e-05
"279",3.6536688898371e-05
"280",3.2947730118874e-05
"281",4.6532932739913e-05
"282",4.5033112131773e-05
"283",4.6492779481388e-05
"284",3.4715031304375e-05
"285",2.4390015651468e-05
"286",3.3565432368664e-05
"287",5.0070065055993e-05
"288",3.5475462469524e-05
"289",4.120625122056e-05
"290",3.572606497959e-05
"291",2.8183168212709e-05
"292",3.5969284286003e-05
"293",2.6511288382027e-05
"294",8.3378094225746e-05
"295",2.7503603082369e-05
"296",2.7487015023064e-05
"297",5.0096201254484e-05
"298",2.3542527835083e-05
"299",3.6534879714776e-05
"300",3.390262240545e-05
"301",3.2409192896554e-05
"302",3.3113069506574e-05
"303",2.1339535540561e-05
"304",1.8545782690487e-05
"305",3.7263192340813e-05
"306",1.8408923972662e-05
"307",1.6276382788374e-05
"308",1.8373519230324e-05
"309",2.4345931165878e-05
"310",1.725922713116e-05
"311",5.0185774238074e-05
"312",3.1698338134023e-05
"313",2.6459947981908e-05
"314",2.4249126313878e-05
"315",3.0291678439269e-05
"316",2.5823766984929e-05
"317",5.1200460883829e-05
"318",1.51522458179577e-05
